iSemana;cRetrabalho;nCdSetor;nCdEquipamento;nCdTurno;nCdProcedimento;nCdAtividade;nCdOrdemProducao;nCdProdutoProcesso;nCdProdutoFinal;iSeqAtividade;nCdProdutoPedido;iItemMetodo;cNmMetodo;cLinhaProducao;cCdRastreabilidade;iQtdeApontamentoAtividade;nMedidaOrdemProducao;iQtdeMaoObra;nTempoMetodo;nTempoImprodutivo;nTempoRetrabalho;nTempoSemMetodo;nTempoOcioso;nQtdeMetodo;nPesoLiquidoEntrada_prod;nValorArredondado;cObservacao;nCdSeqProdutivaFormula;cNmSeqProdutivaFormula;iVersaoSeqProdutivaFormula;nCdSeqProdutivaRoteiro;cNmSeqProdutivaFormulaRoteiro;iVersaoSeqProdutivaRoteiro;iPecaEntrada;nPesoLiquidoEntrada_cep;nMedidaEntrada;nCdProduto;Verifica_Formula_LAB_382;Verifica_Roteiros_LAB_382;nCdAtividadeMedicao_1306;nCdAtividadeMedicao_1317;nCdAtividadeMedicao_1340;nCdAtividadeMedicao_1355;nCdAtividadeMedicao_1356;nCdAtividadeMedicao_1427;nCdAtividadeMedicao_1428;nCdAtividadeMedicao_1441;nCdAtividadeMedicao_1444;cObservacao_origem;nCdEquipamento_origem;cNmLinhaProducao;nCdLinhaProducao;nPeca;nMedida;FlorSolta;Qtd_Flor_Solta;nCdLocalEstoque
50;0;173;1518;40.0;141;335;123817;587368;587368;4;587368;5;CMG - SECAR COUROS MÉDIO E GRANDE - 7 COLAB.;870 - COURO - PRODUÇÃO;05160GQ;217;13248.805;14;1.0;18.72;0.0;0.0;0.79;2.32;3558.0;3558.0;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123717;13005.0;FR CSA CMG SEMI TERMINADO BRAVO;28.0;28839.0;RT CSA CMG BRAVO BBS 13/15 TUNEL DE VARAS B - SAMYANG - BLACK;4.0;216.0;1779.0;13187.75;587368.0;13005|28;28839|4;;;;;;33.0;39.0;;11.2;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123717;1495;CMG - CONTROLE SEMI;870;431.0;13157.222;True;57.0;[3956]
50;0;202;1495;97.0;9;197;123817;587368;587368;1;587368;1;FORA DE METODO;870 - COURO - PRODUÇÃO;05160GQ;216;13187.75;0;0.0;67.0;0.0;0.0;0.0;1.0;1779.0;1779.0;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123717;13005.0;FR CSA CMG SEMI TERMINADO BRAVO;28.0;28839.0;RT CSA CMG BRAVO BBS 13/15 TUNEL DE VARAS B - SAMYANG - BLACK;4.0;216.0;1779.0;13187.75;587368.0;13005|28;28839|4;;;;;;33.0;39.0;;11.2;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123717;1495;CMG - CONTROLE SEMI;870;431.0;13157.222;True;57.0;[3956]
51;0;172;1512;40.0;178;369;123906;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05167GQ;128;7297.683999999999;10;2.0;0.0;0.0;0.0;9.78;2.82;1868.0;1868.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123780;1495;CMG - CONTROLE SEMI;870;257.0;7326.192;False;0.0;[3956]
51;0;172;1512;40.0;178;369;123908;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05171GQ;139;7405.75;5;1.0;0.0;0.0;0.0;7.58;1.41;1001.0;1001.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123805;1495;CMG - CONTROLE SEMI;870;279.0;7432.39;True;33.0;[3956]
51;0;172;1512;40.0;178;369;123909;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05166GQ;131;7501.72;5;1.0;0.0;0.0;0.0;1.91;1.41;993.0;993.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123779;1495;CMG - CONTROLE SEMI;870;264.0;7558.987;True;3.0;[3956]
51;0;172;1512;40.0;178;369;123911;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05156GQ;141;7513.034;5;1.0;0.0;0.0;0.0;12.0;1.41;944.0;944.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123748;1495;CMG - CONTROLE SEMI;870;280.0;7459.749999999999;True;11.0;[3956]
51;0;172;1512;40.0;178;369;123986;587368;587368;3;587368;25;CMG- ESTIRAR COURO AUTOMOTIVO COM 320 SEGUNDOS DE RETENÇÃO - 5 COLAB.;870 - COURO - PRODUÇÃO;05179GQ;132;7533.75;5;1.0;0.0;0.0;0.0;0.62;1.41;982.0;982.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123833;1495;CMG - CONTROLE SEMI;870;265.0;7562.287;False;0.0;[3956]
51;0;173;1520;40.0;141;335;123906;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05167GQ;128;7297.683999999999;18;2.0;0.0;0.0;0.0;9.78;2.82;1868.0;1868.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123780;1495;CMG - CONTROLE SEMI;870;257.0;7326.192;False;0.0;[3956]
51;0;173;1520;40.0;141;335;123908;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05171GQ;139;7405.75;9;1.0;0.0;0.0;0.0;7.58;1.41;1001.0;1001.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123805;1495;CMG - CONTROLE SEMI;870;279.0;7432.39;True;33.0;[3956]
51;0;173;1520;40.0;141;335;123909;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05166GQ;131;7501.72;9;1.0;0.0;0.0;0.0;2.91;1.41;993.0;993.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123779;1495;CMG - CONTROLE SEMI;870;264.0;7558.987;True;3.0;[3956]
51;0;173;1520;40.0;141;335;123911;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05156GQ;141;7513.034;9;1.0;0.0;0.0;0.0;12.0;1.41;944.0;944.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123748;1495;CMG - CONTROLE SEMI;870;280.0;7459.749999999999;True;11.0;[3956]
51;0;173;1520;40.0;141;335;123986;587368;587368;4;587368;2;CMG - SECAR COURO COM 310 A 340 SEG DE RETENÇÃO - 9 - COLAB.;870 - COURO - PRODUÇÃO;05179GQ;132;7533.75;9;1.0;0.0;0.0;0.0;0.62;1.41;982.0;982.0;;;;;;;;;;;;;;;;;;;;;;;BRAVO BBS 1.3/1.5 B BLACK 27509 PC OP 123833;1495;CMG - CONTROLE SEMI;870;265.0;7562.287;False;0.0;[3956]
